file,status,round,proved,total,elapsed_sec,tokens,error
array-fpi_pcomp,pass,1,46,46,7.127,0,
array-fpi_res1,pass,1,44,44,5.409,20000,
array-fpi_res1o,pass,1,44,44,4.256,12000,
array-fpi_res2,pass,1,72,72,8.286,8000,
array-fpi_res2o,pass,1,74,74,8.924,7000,
array-fpi_s12if,pass,1,32,32,4.04,15000,
array-fpi_s1if,pass,1,20,20,5,5000,
array-fpi_s1lif,pass,1,32,32,3.813,3000,
array-fpi_s22if,pass,1,32,32,3.123,3500,
array-fpi_s2if,pass,1,20,20,2.627,3500,
array-fpi_s2lif,pass,1,32,32,3.639,2500,
array-fpi_s32if,pass,1,32,32,4.6,2000,
array-fpi_s3if,pass,1,20,20,2.066,50000,
array-fpi_s3lif,pass,1,32,32,5.0,10000,
array-fpi_s42if,pass,3,32,32,3.657,5500,
array-fpi_s4if,pass,1,20,20,2.642,3500,
array-fpi_s4lif,pass,1,32,32,4.0,15000,
array-fpi_s52if,pass,1,32,32,3.641,8500,
array-fpi_s5if,pass,1,20,20,2.438,5000,
array-fpi_s5lif,pass,1,32,32,3.178,5000,
array-fpi_sina1,pass,1,27,27,2.741,15000,
array-fpi_sina2,pass,1,40,40,3.735,5000,
array-fpi_sina3,pass,1,59,59,5.986,12000,
array-fpi_sina4,pass,1,51,51,4.388,8000,
array-fpi_sina5,pass,1,66,66,9.1,8000,
array-fpi_sqm,pass,1,29,29,3.099,8000,
array-fpi_sqm-if,pass,1,31,31,2.876,4500,
array-fpi_ss1,pass,2,43,43,3.747,6000,
array-fpi_ss2,pass,1,75,75,5.856,15000,
array-fpi_ss3,pass,1,55,55,4.521,6000,
array-fpi_ss4,pass,1,42,42,5.562,3500,
array-fpi_ssina,pass,1,58,58,5.466,4500,
array-industry-pattern_array_monotonic,pass,1,19,19,2.154,9882,
array-industry-pattern_array_mul_init,pass,2,27,27,21.0,2500,
array-industry-pattern_array_of_struct_break,pass,1,15,15,1.896,5000,
array-industry-pattern_array_of_struct_ptr_cond_init,fail,5,18,25,601,12478,WP typed model cannot track malloc freshness with casts; 7 goals timed out in loop 1 (invariant preservation + loop assigns) due to unproven heap separation
array-industry-pattern_array_of_struct_ptr_flag_init,pass,2,22,22,3.274,15000,
array-industry-pattern_array_of_struct_ptr_monotonic,fail,3,32,37,96.868,50000,5 loop assigns checks timeout (30s each) — WP internal Init tracking not matchable to ACSL loop assigns. All 32 semantic goals (invariants + original assert) proved.
array-industry-pattern_array_of_struct_single_elem_init,pass,1,19,19,1.931,6500,
array-industry-pattern_array_ptr_partial_init,fail,5,24,25,216,500000,
array-industry-pattern_array_ptr_single_elem_init-1,fail,2,14,18,90,75000,4 loop assigns unproven (heap memory in first loop with malloc)
array-industry-pattern_array_shadowinit,pass,1,22,22,2.123,2000,
array-industry-pattern_array_single_elem_init,pass,3,16,16,45.7,10000,
array-lopstr16_base_case,fail,4,26,27,32.921,65000,Loop assigns timeout (prover performance on quantified existential)
array-lopstr16_break-1,fail,5,17,18,94.0,12000,"Loop assigns sub-goal timeout on Call Effect consistency (Qed: Stronger, Z3/Alt-Ergo timeout)"
array-lopstr16_break-2,pass,1,15,15,1.785,3000,
array-lopstr16_flag_loopdep_simple,pass,2,29,29,20.625,4800,
array-lopstr16_partial_lesser_bound,pass,4,25,25,155,8000,
array-lopstr16_partial_lesser_bound-1,pass,1,25,25,3,2500,
array-lopstr16_scalar_loopdep,pass,2,17,17,26,8000,
array-lopstr16_single_elem_safe,fail,4,16,20,152,45000,Loop assigns timeouts on loop 1 (malloc effects not covered by WP memory model); assertion proved via admit
array-lopstr16_sum_multi_array,pass,1,22,22,2.467,3500,
array-multidimensional_copy-2-u,pass,3,49,49,104.16,18000,
array-multidimensional_copy-3-n-u,pass,1,70,70,5.639,7500,
array-multidimensional_copy-partial-2-n-u,pass,1,49,49,3.586,5000,
array-multidimensional_copy-partial-3-u,fail,2,92,93,190.322,10000,"Assertion at line 136 not provable: the program partially copies B to A only for two cube regions ([0..499]^3 and [500..999]^3), but the assertion checks all i,j,k in [0..999]^3. Mixed-index regions remain uninitialized in A, making the assertion unprovable."
array-multidimensional_init-2-n-u,pass,1,33,33,2.738,3500,
array-multidimensional_init-3-u,pass,1,49,49,5.007,4000,
array-multidimensional_max-2-u,pass,4,48,48,59.21,35000,
array-multidimensional_max-3-n-u,pass,3,74,74,92.8,75000,
array-multidimensional_min-2-u,pass,3,47,47,87.909,5000,
array-multidimensional_min-3-n-u,pass,2,70,70,62,6500,
array-multidimensional_rev-2-n-u,pass,1,43,43,3.85,2400,
array-multidimensional_rev-3-u,pass,1,68,68,6.3,4500,
array-multidimensional_transpose-u,pass,1,47,47,4.232,3000,
array-programs_copysome1-1,pass,2,20,20,4.0,3000,
array-programs_copysome2-1,pass,1,29,29,5,3500,
array-programs_partial_mod_count_1,pass,1,29,29,2.852,10000,
array-programs_partial_mod_count_2,pass,4,31,31,124.467,50000,
array-programs_partial_mod_count_3,pass,2,31,31,3.024,45000,
array-programs_partial_mod_count_4,pass,3,25,25,84.885,12000,
array-programs_partial_mod_count_5,pass,2,29,29,20.242,15000,
array-programs_partial_mod_count_limited_1,pass,2,39,39,21.49,3500,
array-programs_partial_mod_count_limited_2,pass,1,29,29,2.825,8000,
array-programs_partial_mod_count_limited_3,pass,2,25,25,2.46,8500,
array-programs_partial_mod_count_limited_4,pass,2,41,41,23.0,10000,
array-programs_partial_mod_count_limited_5,pass,5,23,23,224.1,20000,
array-programs_partial_mod_count_limited_gen,fail,5,27,28,17.36,80000,Assertion on line 44 (j <= (N*(R-1))/(R*R)) timed out: counting argument for zero positions bound cannot be resolved by SMT solvers within timeout
array-tiling_mbpr2,fail,5,35,36,18.9,75000,Assertion at line 67: Z3 and Alt-Ergo timeout on quantifier-based parity reasoning (volArray[i] >= MINVAL || volArray[i] == 0)
array-tiling_mbpr3,pass,3,59,59,7.808,8500,
array-tiling_mlceu2,pass,1,18,18,2.082,4500,
array-tiling_nr2,fail,4,32,34,280,18000,2 loop assigns timeouts (outer loop): SMT solver cannot handle integer division in range bounds verification
array-tiling_nr3,pass,4,29,29,87.7,15000,
array-tiling_pnr2,pass,1,24,24,53,6200,
array-tiling_pnr3,pass,2,26,26,66.909,15000,
array-tiling_poly1,pass,1,17,17,8,3500,
array-tiling_poly2,pass,1,28,28,2.685,8500,
array-tiling_pr2,pass,1,22,22,2.472,3000,
array-tiling_pr3,pass,3,24,24,39.53,5000,
array-tiling_revcpyswp2,pass,1,62,62,14.879,4000,
array-tiling_rew,pass,1,18,18,2.808,1500,
array-tiling_rewnif,pass,4,18,18,2.085,8500,
array-tiling_rewnifrev,pass,3,18,18,19.2,15000,
array-tiling_rewnifrev2,pass,1,18,18,4,5000,
array-tiling_rewrev,pass,1,18,18,2.211,5000,
array-tiling_skipped,pass,1,26,26,3.54,3000,
array-tiling_tcpy,pass,1,28,28,3.015,7500,
heap-data_calendar,fail,4,10,12,64.263,150000,loop_assigns_timeout: linked list malloc effect not provable by WP
heap-data_cart,pass,3,6,6,1.787,20000,
heap-data_hash_fun,fail,5,15,17,19.782,20000,WP allocation tracking not implemented: loop assigns for malloc node fields timed out. Assertion in while(list) loop is PROVEN: list->hash >= base && list->hash < base + INTERVAL_SIZE.
heap-data_min_max,fail,8,8,11,588,45000,First loop invariant preservation timed out (inductive predicate all_in_range too complex for 60s); loop assigns cannot fully cover malloc allocation effects in WP typed model; loop variant omitted for non-terminating while(unknown()) loop. Original asserts in second loop are proven (Alt-Ergo Valid).
heap-data_packet_filter,pass,4,17,17,285,10000,
heap-data_process_queue,pass,1,4,4,180,5000,
heap-data_quick_sort_split,pass,4,8,8,168,18000,
heap-data_running_example,fail,5,10,17,97,15000,7 loop assigns timeouts on dynamic linked list heap writes - WP cannot enumerate changing pointer locations in loop assigns
heap-data_shared_mem1,pass,2,20,20,103.392,10000,
heap-data_shared_mem2,pass,3,10,10,178,25000,
loop-acceleration_array_1-2,pass,1,9,9,1.975,5000,
loop-acceleration_array_2-2,pass,1,13,13,1.731,1000,
loop-acceleration_array_2-2-simple,pass,1,8,8,1.727,5000,
loop-acceleration_array_3-1,pass,1,11,11,1.782,5000,
loop-acceleration_array_4,pass,1,12,12,1.507,2500,
loop-acceleration_const_1-1,pass,1,8,8,1.508,2000,
loop-acceleration_diamond_1-1,pass,2,10,10,115.0,12000,
loop-acceleration_diamond_2-2,pass,2,6,6,20,18000,
loop-acceleration_functions_1-1,pass,2,9,9,1.889,2000,
loop-acceleration_multivar_1-1,pass,2,6,6,19.62,3500,
loop-acceleration_nested_1-1,pass,1,11,11,2.244,2000,
loop-acceleration_phases_1-1,pass,1,6,6,1.599,3500,
loop-acceleration_phases_2-2,pass,3,4,4,36.45,8500,
loop-acceleration_simple_1-2,pass,1,6,6,1.736,1800,
loop-acceleration_underapprox_1-2,pass,1,8,8,1.495,2500,
loop-acceleration_underapprox_2-2,pass,1,6,6,2.1,500,
loop-crafted_simple_array_index_value_1-1,pass,1,16,16,2.182,6500,
loop-crafted_simple_array_index_value_3,pass,1,17,17,2.174,2000,
loop-crafted_simple_vardep_1,pass,1,8,8,2.069,8000,
loop-crafted_simple_vardep_2,pass,1,10,10,1.711,4000,
loop-invariants_bin-suffix-5,pass,4,5,5,133,15000,
loop-invariants_const,pass,2,6,6,20.19,4300,
loop-invariants_eq1,pass,1,6,6,1.229,2000,
loop-invariants_eq2,pass,1,7,7,1.129,3500,
loop-invariants_even,pass,5,5,5,1.26,4000,
loop-invariants_mod4,pass,5,5,5,117.0,15000,
loop-invariants_odd,fail,5,6,8,130,80000,lemma timeouts on universal bit_test; variant 0 generates unprovable false goal; assertion and invariant preservation proved with (x&1)==1 invariant
loop-invgen_down,pass,1,15,15,1.515,3500,
loop-invgen_heapsort,pass,1,34,34,33.416,4500,
loop-invgen_large_const,pass,2,15,15,19.898,5000,
loop-invgen_up,pass,1,15,15,1.715,1800,
loop-lit_afnp2014,pass,1,11,11,1.922,5000,
loop-lit_as2013-hybrid,pass,1,15,15,1.594,5000,
loop-lit_bh2017-ex-add,pass,1,13,13,1.958,6000,
loop-lit_bh2017-ex1-poly,pass,1,29,29,2.509,18000,
loop-lit_bh2017-ex3,pass,1,12,12,1.623,5000,
loop-lit_bhmr2007,pass,1,9,9,1.079,12000,
loop-lit_cggmp2005,pass,1,8,8,1.172,5000,
loop-lit_cggmp2005_variant,pass,1,8,8,0.99,6200,
loop-lit_cggmp2005b,pass,2,20,20,19.914,8000,
loop-lit_ddlm2013,fail,6,14,16,19.528,18000,2 auxiliary post-branch assertions timeout (to_uint32 on j+1 expressions)
loop-lit_gcnr2008,fail,2,14,15,18.845,15000,
loop-lit_gj2007,pass,1,10,10,1.407,2000,
loop-lit_gj2007b,pass,1,12,12,1.77,3000,
loop-lit_gr2006,pass,1,12,12,1.633,1500,
loop-lit_gsv2008,pass,0,8,8,1.439,3500,
loop-lit_hh2012-ex1b,pass,1,15,15,1.282,1000,
loop-lit_hh2012-ex2b,pass,1,6,6,1.7,5000,
loop-lit_hh2012-ex3,pass,2,25,25,19.139,2500,
loop-lit_hhk2008,pass,1,8,8,1.443,3680,
loop-lit_jm2006,pass,1,8,8,1.488,2500,
loop-lit_mcmillan2006,pass,1,12,12,1.704,15000,
loop-lit_mine2017-ex4.10,pass,1,11,11,1.383,5000,
loop-lit_mine2017-ex4.6,pass,1,8,8,1.241,5000,
loop-lit_mine2017-ex4.7,pass,2,7,7,25,2000,
loop-new_gauss_sum,pass,1,10,10,1.589,6000,
loop-new_nested-1,pass,1,15,15,19.311,3800,
loop-zilu_benchmark01_conjunctive,pass,1,7,7,1.354,2000,
loop-zilu_benchmark02_linear,pass,1,6,6,0.939,2000,
loop-zilu_benchmark04_conjunctive,pass,1,8,8,1.624,5000,
loop-zilu_benchmark05_conjunctive,pass,1,10,10,1.401,2600,
loop-zilu_benchmark06_conjunctive,pass,1,9,9,1.63,3000,
loop-zilu_benchmark08_conjunctive,pass,1,8,8,1.268,1500,
loop-zilu_benchmark09_conjunctive,pass,1,8,8,1.261,1500,
loop-zilu_benchmark10_conjunctive,pass,1,8,8,1.037,2000,
loop-zilu_benchmark11_linear,pass,1,6,6,0.991,3000,
loop-zilu_benchmark12_linear,pass,2,5,5,17.652,1100,
loop-zilu_benchmark13_conjunctive,pass,1,8,8,1.001,5000,
loop-zilu_benchmark14_linear,pass,1,6,6,0.943,8000,
loop-zilu_benchmark15_conjunctive,pass,1,8,8,1.031,2000,
loop-zilu_benchmark16_conjunctive,pass,1,7,7,17.439,3500,
loop-zilu_benchmark17_conjunctive,pass,1,6,6,0.951,2200,
loop-zilu_benchmark18_conjunctive,pass,1,8,8,0.984,5000,
loop-zilu_benchmark19_conjunctive,pass,1,10,10,1.081,3500,
loop-zilu_benchmark20_conjunctive,pass,1,8,8,1.352,5000,
loop-zilu_benchmark21_disjunctive,pass,1,6,6,0.945,6500,
loop-zilu_benchmark22_conjunctive,pass,1,9,9,20,2500,
loop-zilu_benchmark23_conjunctive,pass,1,8,8,0.99,6500,
loop-zilu_benchmark24_conjunctive,pass,1,10,10,1.323,3500,
loop-zilu_benchmark25_linear,pass,1,6,6,0.937,10000,
loop-zilu_benchmark26_linear,pass,1,6,6,0.925,2000,
loop-zilu_benchmark27_linear,pass,1,8,8,1.291,1800,
loop-zilu_benchmark28_linear,pass,4,8,8,1.752,8000,
loop-zilu_benchmark29_linear,pass,1,6,6,1.222,2000,
loop-zilu_benchmark30_conjunctive,pass,1,5,5,17.62,3500,
loop-zilu_benchmark31_disjunctive,pass,1,4,4,1.207,2000,
loop-zilu_benchmark32_linear,pass,1,5,5,1.23,2000,
loop-zilu_benchmark33_linear,pass,2,6,6,17.821,4000,
loop-zilu_benchmark34_conjunctive,pass,1,10,10,1.949,2000,
loop-zilu_benchmark35_linear,pass,2,6,6,17.633,1800,
loop-zilu_benchmark36_conjunctive,pass,2,7,7,18.018,2500,
loop-zilu_benchmark37_conjunctive,pass,1,8,8,1.273,5000,
loop-zilu_benchmark38_conjunctive,pass,1,7,7,0.993,3000,
loop-zilu_benchmark39_conjunctive,pass,1,8,8,1.019,1500,
loop-zilu_benchmark40_polynomial,pass,2,5,5,18,3200,
loop-zilu_benchmark41_conjunctive,pass,1,9,9,1.209,6000,
loop-zilu_benchmark42_conjunctive,pass,1,10,10,1.216,2000,
loop-zilu_benchmark43_conjunctive,pass,1,6,6,1.994,1200,
loop-zilu_benchmark44_disjunctive,fail,1,5,6,16.533,42000,"Assertion x <= y + 16 is not universally provable: case A (x<0 && y<0) can increase x-y by 24, producing x-y up to 23 at exit, exceeding bound of 16"
loop-zilu_benchmark45_disjunctive,pass,2,5,5,20.32,15000,
loop-zilu_benchmark46_disjunctive,pass,2,5,5,19.41,2000,
loop-zilu_benchmark47_linear,pass,1,6,6,1.449,1500,
loop-zilu_benchmark48_linear,pass,1,8,8,1.139,1500,
loop-zilu_benchmark49_linear,pass,1,6,6,1.327,3000,
loop-zilu_benchmark50_linear,pass,1,6,6,2.105,1500,
loop-zilu_benchmark51_polynomial,pass,2,5,5,20.0,4000,
loop-zilu_benchmark52_polynomial,pass,1,8,8,1.83,1500,
loop-zilu_benchmark53_polynomial,pass,2,5,5,20.8,2000,
loops-crafted-1_Mono1_1-2,pass,1,8,8,1.657,1500,
loops-crafted-1_iftelse,pass,3,5,5,37.28,10000,
loops-crafted-1_loopv1,pass,1,9,9,1.571,2500,
loops-crafted-1_loopv2,pass,2,15,15,1.905,1500,
loops-crafted-1_loopv3,pass,1,9,9,1.75,2500,
loops-crafted-1_mono-crafted_1,pass,1,15,15,1.963,2500,
loops-crafted-1_mono-crafted_10,pass,1,10,10,2.572,1000,
loops-crafted-1_mono-crafted_11,pass,1,8,8,1.915,3500,
loops-crafted-1_mono-crafted_12,pass,3,10,10,2.068,5000,
loops-crafted-1_mono-crafted_13,pass,2,17,17,18.41,15000,
loops-crafted-1_mono-crafted_14,pass,1,20,20,2.254,3000,
loops-crafted-1_mono-crafted_3,pass,1,17,17,1.646,5000,
loops-crafted-1_mono-crafted_6,pass,1,8,8,1.61,2000,
loops-crafted-1_mono-crafted_7,pass,1,19,19,2.227,5000,
loops-crafted-1_mono-crafted_8,pass,1,10,10,1.649,6500,
loops-crafted-1_mono-crafted_9,pass,1,10,10,1.532,3000,
loops-crafted-1_nested3-1,pass,1,18,18,2.335,5000,
loops-crafted-1_nested5-1,pass,1,26,26,2.721,2000,
loops-crafted-1_nested_delay_nd,pass,3,18,18,154.2,15000,
loops-crafted-1_sum_natnum,pass,1,8,8,1.413,8000,
loops-crafted-1_theatreSquare,pass,3,65,65,10.734,8500,
loops-crafted-1_watermelon,pass,3,19,19,2.243,18500,
loops_eureka_01-2,pass,1,43,43,3.885,8500,
loops_eureka_05,pass,1,36,36,2.399,8000,
loops_matrix-1,pass,1,18,18,1.921,8000,
loops_n.c11,pass,1,5,5,1.712,4000,
recursified_loop-crafted_recursified_simple_vardep_1,pass,2,17,17,66,5000,
recursified_loop-crafted_recursified_simple_vardep_2,pass,5,15,15,265,15000,
recursified_loop-invariants_recursified_bin-suffix-5,pass,3,12,12,55.102,3000,
recursified_loop-invariants_recursified_const,pass,1,14,14,1.177,2500,
recursified_loop-invariants_recursified_even,pass,6,12,12,136.0,18000,
recursified_loop-invariants_recursified_mod4,pass,2,12,12,1.888,4200,
recursified_loop-invariants_recursified_odd,pass,2,14,14,85.2,5000,
reducercommutativity_avg05-1,pass,3,36,36,57.016,12000,
reducercommutativity_max05-1,pass,5,32,32,120,15000,
reducercommutativity_max10-1,pass,4,45,45,154.8,12000,
reducercommutativity_sep05-1,pass,2,29,29,30.0,6800,
reducercommutativity_sum10-1,pass,4,31,31,92,85000,
